example_id,vignette_name,problem_type,intersection_size,response_type,has_statistics,variant,prompt,well_posed,normative,p_c_and_d_given_a,normative_choice,normative_percent,normative_open,confidence_required,numeric_score_percent,numeric_score_choice,scepticism_required,scepticism_score_target,option_a_label,option_b_label,option_c_label,option_d_label,option_e_label,option_a_lure,option_b_lure,option_c_lure,option_d_lure,option_e_lure,option_f_label,option_g_label,option_h_label,option_f_lure,option_g_lure,option_h_lure,model,llm_response,reasoning,answer_line,confidence_line,parsed_answer_type,parsed_percent,parsed_choice,parsed_confidence,scoring_type,parseable,score
actor_waiter_overlap__overlap__implausible__mc_full_no_probs,actor waiter overlap,overlap,small,mc_full,false,mc_full_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), some are actors and the rest are non-actors.
Among actors, some also work as waiters and some have a secondary acting job. An estimated 1.8% fall into both categories.

Using knowledge of the world, please estimate the probability that a person who was an actor or a non-actor and who worked part-time at their primary job in the reference week was an actor.

A. About 0%
B. About 62%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A or B, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,implausible,0.018,A,0.1291,0.1%,true,0.1314,A,true,H,About 0%,About 62%,,,,overlap-aware Bayes (uses P(C∩D|A) estimate),P(T | A) confusion,,,,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,anthropic/claude-opus-4-8@default,"A
4",,A,4,mc_choice,,A,4,mc_full,true,false
actor_waiter_overlap__overlap__implausible__mc_full_probs,actor waiter overlap,overlap,small,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), 0.03% are actors and the remainder are non-actors.
Among actors, 70% also work as waiters and 30% have a secondary acting job. An estimated 1.8% fall into both categories.
Among actors who also work as waiters, 65% worked part-time at their primary job in the reference week; among actors whose acting job is secondary, 55% worked part-time at their primary job in the reference week; among non-actors, 16% worked part-time at their primary job in the reference week.

Given that an actor or a non-actor worked part-time at their primary job in the reference week, what is the probability the person was an actor?

A. About 0%
B. About 62%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A or B, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,implausible,0.018,A,0.1291,0.1%,true,0.1314,A,true,H,About 0%,About 62%,,,,overlap-aware Bayes (uses P(C∩D|A) estimate),P(T | A) confusion,,,,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,anthropic/claude-opus-4-8@default,"A
5",,A,5,mc_choice,,A,5,mc_full,true,false
actor_waiter_overlap__overlap__implausible__mc_numeric_no_probs,actor waiter overlap,overlap,small,mc_numeric,false,mc_numeric_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), some are actors and the rest are non-actors.
Among actors, some also work as waiters and some have a secondary acting job. An estimated 1.8% fall into both categories.

Using knowledge of the world, please estimate the probability that a person who was an actor or a non-actor and who worked part-time at their primary job in the reference week was an actor.

A. About 0%
B. About 62%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A or B).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,implausible,0.018,A,0.1291,0.1%,true,0.1314,A,true,n/a,About 0%,About 62%,,,,overlap-aware Bayes (uses P(C∩D|A) estimate),P(T | A) confusion,,,,,,,,,,anthropic/claude-opus-4-8@default,"A
5",,A,5,mc_choice,,A,5,mc_numeric,true,false
actor_waiter_overlap__overlap__implausible__mc_numeric_probs,actor waiter overlap,overlap,small,mc_numeric,true,mc_numeric_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), 0.03% are actors and the remainder are non-actors.
Among actors, 70% also work as waiters and 30% have a secondary acting job. An estimated 1.8% fall into both categories.
Among actors who also work as waiters, 65% worked part-time at their primary job in the reference week; among actors whose acting job is secondary, 55% worked part-time at their primary job in the reference week; among non-actors, 16% worked part-time at their primary job in the reference week.

Given that an actor or a non-actor worked part-time at their primary job in the reference week, what is the probability the person was an actor?

A. About 0%
B. About 62%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A or B).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,implausible,0.018,A,0.1291,0.1%,true,0.1314,A,true,n/a,About 0%,About 62%,,,,overlap-aware Bayes (uses P(C∩D|A) estimate),P(T | A) confusion,,,,,,,,,,anthropic/claude-opus-4-8@default,"A
5",,A,5,mc_choice,,A,5,mc_numeric,true,false
actor_waiter_overlap__overlap__implausible__open_no_probs,actor waiter overlap,overlap,small,open,false,open_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), some are actors and the rest are non-actors.
Among actors, some also work as waiters and some have a secondary acting job. An estimated 1.8% fall into both categories.

Using knowledge of the world, please estimate the probability that a person who was an actor or a non-actor and who worked part-time at their primary job in the reference week was an actor.

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,implausible,0.018,,0.1291,0.1%,true,0.1314,,true,meta,,,,,,,,,,,,,,,,,anthropic/claude-opus-4-8@default,"About 0.05%
2

Let me reconsider.

The ""actor or non-actor"" category is everyone in the labor force (~166.4 million). So I need P(actor | works part-time at primary job).

Number of actors in the US labor force is roughly 50,000–70,000 (BLS estimates ~60,000 actors). Actors disproportionately work part-time, but even generously assuming many work part-",,About 0.05%,2,probability,0.05,,2,open,true,false
actor_waiter_overlap__overlap__implausible__open_probs,actor waiter overlap,overlap,small,open,true,open_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), 0.03% are actors and the remainder are non-actors.
Among actors, 70% also work as waiters and 30% have a secondary acting job. An estimated 1.8% fall into both categories.
Among actors who also work as waiters, 65% worked part-time at their primary job in the reference week; among actors whose acting job is secondary, 55% worked part-time at their primary job in the reference week; among non-actors, 16% worked part-time at their primary job in the reference week.

Given that an actor or a non-actor worked part-time at their primary job in the reference week, what is the probability the person was an actor?

Reply on two lines.
Line 1: a percentage (for example, 16% or 16 percent), or exactly one of: ""Insufficient information"" | ""Inconsistent information"" | ""Provided information is obviously incorrect"".
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,implausible,0.018,,0.1291,0.1%,true,0.1314,,true,meta,,,,,,,,,,,,,,,,,anthropic/claude-opus-4-8@default,"I need to find P(actor | part-time).

**Setup:**
- P(actor) = 0.0003, P(non-actor) = 0.9997
- Among actors: 70% waiters, 30% secondary acting job, 1.8% both
- Among actors who are waiters: 65% part-time
- Among actors with secondary acting: 55% part-time
- Among non-actors: 16% part-",,I need to find P(actor | part-time).,**Setup:**,unparseable,,,,open,false,false
actor_waiter_overlap__overlap__mc_full_no_probs,actor waiter overlap,overlap,small,mc_full,false,mc_full_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), some are actors and the rest are non-actors.
Among actors, some also work as waiters and some have a secondary acting job. An estimated 1.8% fall into both categories.

Using knowledge of the world, please estimate the probability that a person who was an actor or a non-actor and who worked part-time at their primary job in the reference week was an actor.

A. About 0%
B. About 19%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A or B, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.018,A,0.03737,0.04%,true,0.03966,A,false,A,About 0%,About 19%,,,,overlap-aware Bayes (uses P(C∩D|A) estimate),P(T | A) confusion,,,,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,anthropic/claude-opus-4-8@default,"A
4",,A,4,mc_choice,,A,4,mc_full,true,true
actor_waiter_overlap__overlap__mc_full_probs,actor waiter overlap,overlap,small,mc_full,true,mc_full_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), 0.03% are actors and the remainder are non-actors.
Among actors, 3.5% also work as waiters and 30% have a secondary acting job. An estimated 1.8% fall into both categories.
Among actors who also work as waiters, 65% worked part-time at their primary job in the reference week; among actors whose acting job is secondary, 55% worked part-time at their primary job in the reference week; among non-actors, 16% worked part-time at their primary job in the reference week.

Given that an actor or a non-actor worked part-time at their primary job in the reference week, what is the probability the person was an actor?

A. About 0%
B. About 19%
F. Insufficient information
G. Inconsistent information
H. Provided information is obviously incorrect

Which answer is closest? Reply on two lines.
Line 1: only the letter (A or B, F, G, or H).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.018,A,0.03737,0.04%,true,0.03966,A,false,A,About 0%,About 19%,,,,overlap-aware Bayes (uses P(C∩D|A) estimate),P(T | A) confusion,,,,Insufficient information,Inconsistent information,Provided information is obviously incorrect,insufficient information,inconsistent information,obviously incorrect premises,anthropic/claude-opus-4-8@default,"A
4",,A,4,mc_choice,,A,4,mc_full,true,true
actor_waiter_overlap__overlap__mc_numeric_no_probs,actor waiter overlap,overlap,small,mc_numeric,false,mc_numeric_no_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), some are actors and the rest are non-actors.
Among actors, some also work as waiters and some have a secondary acting job. An estimated 1.8% fall into both categories.

Using knowledge of the world, please estimate the probability that a person who was an actor or a non-actor and who worked part-time at their primary job in the reference week was an actor.

A. About 0%
B. About 19%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A or B).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.018,A,0.03737,0.04%,true,0.03966,A,false,n/a,About 0%,About 19%,,,,overlap-aware Bayes (uses P(C∩D|A) estimate),P(T | A) confusion,,,,,,,,,,anthropic/claude-opus-4-8@default,"A
4",,A,4,mc_choice,,A,4,mc_numeric,true,true
actor_waiter_overlap__overlap__mc_numeric_probs,actor waiter overlap,overlap,small,mc_numeric,true,mc_numeric_probs,"You are a statistical consultant. Your task is to estimate a conditional probability from the information below.

Among US labor force (CPS; employed and unemployed job-seekers; ~166.4 million in 2024 per NEA Indicator A.5), 0.03% are actors and the remainder are non-actors.
Among actors, 3.5% also work as waiters and 30% have a secondary acting job. An estimated 1.8% fall into both categories.
Among actors who also work as waiters, 65% worked part-time at their primary job in the reference week; among actors whose acting job is secondary, 55% worked part-time at their primary job in the reference week; among non-actors, 16% worked part-time at their primary job in the reference week.

Given that an actor or a non-actor worked part-time at their primary job in the reference week, what is the probability the person was an actor?

A. About 0%
B. About 19%

Which answer is closest? Reply on two lines.
Line 1: only the letter (A or B).
Line 2: your confidence from 1 (not confident) to 5 (very confident).",false,underdetermined,0.018,A,0.03737,0.04%,true,0.03966,A,false,n/a,About 0%,About 19%,,,,overlap-aware Bayes (uses P(C∩D|A) estimate),P(T | A) confusion,,,,,,,,,,anthropic/claude-opus-4-8@default,"A
5",,A,5,mc_choice,,A,5,mc_numeric,true,true
